year,after_utc,before_utc,missing_minutes,classification
2017,2017-09-06T15:59:00+00:00,2017-09-06T23:00:00+00:00,420,exchange_maintenance
2018,2017-11-30T23:59:00+00:00,2018-01-01T00:00:00+00:00,44640,unclassified
2018,2018-01-04T03:00:00+00:00,2018-01-04T05:06:00+00:00,125,exchange_maintenance
2018,2018-02-08T00:28:00+00:00,2018-02-09T09:59:00+00:00,2010,exchange_maintenance
2018,2018-02-10T05:59:00+00:00,2018-02-10T06:15:00+00:00,15,exchange_maintenance
2018,2018-02-11T04:00:00+00:00,2018-02-11T04:35:00+00:00,34,exchange_maintenance
2018,2018-06-26T01:59:00+00:00,2018-06-26T12:00:00+00:00,600,exchange_maintenance
2018,2018-06-27T12:59:00+00:00,2018-06-27T14:45:00+00:00,105,exchange_maintenance
2018,2018-07-04T00:22:00+00:00,2018-07-04T08:00:00+00:00,457,exchange_maintenance
2018,2018-10-19T05:59:00+00:00,2018-10-19T09:30:00+00:00,210,exchange_maintenance
2018,2018-11-14T01:59:00+00:00,2018-11-14T09:00:00+00:00,420,exchange_maintenance
2019,2018-11-30T23:59:00+00:00,2019-01-01T00:00:00+00:00,44640,unclassified
2019,2019-03-12T01:59:00+00:00,2019-03-12T08:00:00+00:00,360,exchange_maintenance
2019,2019-05-15T02:59:00+00:00,2019-05-15T13:00:00+00:00,600,exchange_maintenance
2019,2019-06-07T21:13:00+00:00,2019-06-07T22:15:00+00:00,61,exchange_maintenance
2019,2019-08-15T01:59:00+00:00,2019-08-15T10:00:00+00:00,480,exchange_maintenance
2019,2019-11-13T01:59:00+00:00,2019-11-13T04:20:00+00:00,140,exchange_maintenance
2019,2019-11-13T05:29:00+00:00,2019-11-13T05:33:00+00:00,3,exchange_maintenance
2019,2019-11-25T01:59:00+00:00,2019-11-25T04:00:00+00:00,120,exchange_maintenance
2020,2019-11-30T23:59:00+00:00,2020-01-01T00:00:00+00:00,44640,unclassified
2020,2020-02-09T01:59:00+00:00,2020-02-09T03:00:00+00:00,60,exchange_maintenance
2020,2020-02-19T11:35:00+00:00,2020-02-19T17:30:00+00:00,354,exchange_maintenance
2020,2020-03-04T09:21:00+00:00,2020-03-04T11:30:00+00:00,128,exchange_maintenance
2020,2020-04-25T01:59:00+00:00,2020-04-25T04:30:00+00:00,150,exchange_maintenance
2020,2020-06-28T01:59:00+00:00,2020-06-28T05:30:00+00:00,210,exchange_maintenance
2020,2020-11-30T05:59:00+00:00,2020-11-30T07:00:00+00:00,60,exchange_maintenance
2021,2020-11-30T23:59:00+00:00,2021-01-01T00:00:00+00:00,44640,unclassified
2021,2021-02-11T03:40:00+00:00,2021-02-11T05:00:00+00:00,79,exchange_maintenance
2021,2021-03-06T01:59:00+00:00,2021-03-06T03:30:00+00:00,90,exchange_maintenance
2021,2021-04-20T01:59:00+00:00,2021-04-20T04:30:00+00:00,150,exchange_maintenance
2021,2021-04-25T04:00:00+00:00,2021-04-25T08:45:00+00:00,284,exchange_maintenance
2021,2021-08-13T01:59:00+00:00,2021-08-13T06:30:00+00:00,270,exchange_maintenance
2021,2021-09-29T06:59:00+00:00,2021-09-29T09:00:00+00:00,120,exchange_maintenance
2022,2021-11-30T23:59:00+00:00,2022-01-01T00:00:00+00:00,44640,unclassified
2023,2022-11-30T23:59:00+00:00,2023-01-01T00:00:00+00:00,44640,unclassified
2023,2023-03-24T12:39:00+00:00,2023-03-24T14:00:00+00:00,80,exchange_maintenance
2024,2023-11-30T23:59:00+00:00,2024-01-01T00:00:00+00:00,44640,unclassified
2025,2024-11-30T23:59:00+00:00,2025-01-01T00:00:00+00:00,44640,unclassified
