instrument,year,observed_minutes,coverage_start_utc,coverage_end_utc,structural_weekend_days,structural_weekend_minutes,weekday_missing_minutes,inactive_weekdays
XAUUSD,2010,375840,2010-01-01T00:00:00+00:00,2010-12-31T23:59:00+00:00,104,149760,0,0
XAUUSD,2011,374400,2011-01-03T00:00:00+00:00,2011-12-30T23:59:00+00:00,102,146880,0,0
XAUUSD,2012,375840,2012-01-02T00:00:00+00:00,2012-12-31T23:59:00+00:00,104,149760,0,0
XAUUSD,2013,375840,2013-01-01T00:00:00+00:00,2013-12-31T23:59:00+00:00,104,149760,0,2
XAUUSD,2014,375840,2014-01-01T00:00:00+00:00,2014-12-31T23:59:00+00:00,104,149760,0,1
XAUUSD,2015,375840,2015-01-01T00:00:00+00:00,2015-12-31T23:59:00+00:00,104,149760,0,2
XAUUSD,2016,375840,2016-01-01T00:00:00+00:00,2016-12-30T23:59:00+00:00,104,149760,0,2
XAUUSD,2017,374400,2017-01-02T00:00:00+00:00,2017-12-29T23:59:00+00:00,102,146880,0,1
XAUUSD,2018,375840,2018-01-01T00:00:00+00:00,2018-12-31T23:59:00+00:00,104,149760,0,1
XAUUSD,2019,375840,2019-01-01T00:00:00+00:00,2019-12-31T23:59:00+00:00,104,149760,0,1
XAUUSD,2020,377280,2020-01-01T00:00:00+00:00,2020-12-31T23:59:00+00:00,104,149760,0,2
XAUUSD,2021,375840,2021-01-01T00:00:00+00:00,2021-12-31T23:59:00+00:00,104,149760,0,3
XAUUSD,2022,374400,2022-01-03T00:00:00+00:00,2022-12-30T23:59:00+00:00,102,146880,0,1
XAUUSD,2023,374400,2023-01-02T00:00:00+00:00,2023-12-29T23:59:00+00:00,102,146880,0,1
XAUUSD,2024,377280,2024-01-01T00:00:00+00:00,2024-12-31T23:59:00+00:00,104,149760,0,1
XAUUSD,2025,375840,2025-01-01T00:00:00+00:00,2025-12-31T23:59:00+00:00,104,149760,0,1
XAUUSD,2026,218880,2026-01-01T00:00:00+00:00,2026-07-31T23:59:00+00:00,60,86400,0,1
