year,date_utc,classification,observed_minutes,tick_volume
2013,2013-03-29,holiday_or_feed_inactive,1440,0.0
2013,2013-12-25,holiday_or_feed_inactive,1440,0.0
2014,2014-04-18,holiday_or_feed_inactive,1440,0.0
2015,2015-04-03,holiday_or_feed_inactive,1440,0.0
2015,2015-12-25,holiday_or_feed_inactive,1440,0.0
2016,2016-01-01,holiday_or_feed_inactive,1440,0.0
2016,2016-03-25,holiday_or_feed_inactive,1440,0.0
2017,2017-04-14,holiday_or_feed_inactive,1440,0.0
2018,2018-03-30,holiday_or_feed_inactive,1440,0.0
2019,2019-04-19,holiday_or_feed_inactive,1440,0.0
2020,2020-04-10,holiday_or_feed_inactive,1440,0.0
2020,2020-12-25,holiday_or_feed_inactive,1440,0.0
2021,2021-01-01,holiday_or_feed_inactive,1440,0.0
2021,2021-04-02,holiday_or_feed_inactive,1440,0.0
2021,2021-12-24,holiday_or_feed_inactive,1440,0.0
2022,2022-04-15,holiday_or_feed_inactive,1440,0.0
2023,2023-04-07,holiday_or_feed_inactive,1440,0.0
2024,2024-03-29,holiday_or_feed_inactive,1440,0.0
2025,2025-04-18,holiday_or_feed_inactive,1440,0.0
2026,2026-04-03,holiday_or_feed_inactive,1440,0.0
