year,session_ny_clock,observations,median_spread_usd,p95_spread_usd,label
2010,asia,140940,0.542000,0.706000,CANDLE_DERIVED_APPROXIMATION
2010,london,78300,0.460000,0.556000,CANDLE_DERIVED_APPROXIMATION
2010,new_york,140940,0.506000,0.704000,CANDLE_DERIVED_APPROXIMATION
2010,off_hours,15660,0.556000,0.706000,CANDLE_DERIVED_APPROXIMATION
2011,asia,140400,0.440000,0.772000,CANDLE_DERIVED_APPROXIMATION
2011,london,78000,0.396000,0.587000,CANDLE_DERIVED_APPROXIMATION
2011,new_york,140400,0.414000,0.696000,CANDLE_DERIVED_APPROXIMATION
2011,off_hours,15600,0.500000,0.954000,CANDLE_DERIVED_APPROXIMATION
2012,asia,140940,0.366000,0.625000,CANDLE_DERIVED_APPROXIMATION
2012,london,78300,0.363000,0.424000,CANDLE_DERIVED_APPROXIMATION
2012,new_york,140940,0.363000,0.476000,CANDLE_DERIVED_APPROXIMATION
2012,off_hours,15660,0.000000,1.072000,CANDLE_DERIVED_APPROXIMATION
2013,asia,140940,0.363000,0.729000,CANDLE_DERIVED_APPROXIMATION
2013,london,78300,0.321000,0.480000,CANDLE_DERIVED_APPROXIMATION
2013,new_york,140940,0.332000,0.584000,CANDLE_DERIVED_APPROXIMATION
2013,off_hours,15660,0.760000,2.110000,CANDLE_DERIVED_APPROXIMATION
2014,asia,140940,0.296000,0.600000,CANDLE_DERIVED_APPROXIMATION
2014,london,78300,0.284000,0.363000,CANDLE_DERIVED_APPROXIMATION
2014,new_york,140940,0.285000,0.420000,CANDLE_DERIVED_APPROXIMATION
2014,off_hours,15660,0.542000,1.342000,CANDLE_DERIVED_APPROXIMATION
2015,asia,140940,0.324000,0.522000,CANDLE_DERIVED_APPROXIMATION
2015,london,78300,0.302000,0.352000,CANDLE_DERIVED_APPROXIMATION
2015,new_york,140940,0.307000,0.432000,CANDLE_DERIVED_APPROXIMATION
2015,off_hours,15660,0.802000,1.744000,CANDLE_DERIVED_APPROXIMATION
2016,asia,140940,0.324000,0.522000,CANDLE_DERIVED_APPROXIMATION
2016,london,78300,0.298000,0.359000,CANDLE_DERIVED_APPROXIMATION
2016,new_york,140940,0.301000,0.420000,CANDLE_DERIVED_APPROXIMATION
2016,off_hours,15660,1.364000,2.714000,CANDLE_DERIVED_APPROXIMATION
2017,asia,140400,0.251000,0.403000,CANDLE_DERIVED_APPROXIMATION
2017,london,78000,0.236000,0.282000,CANDLE_DERIVED_APPROXIMATION
2017,new_york,140400,0.240000,0.296000,CANDLE_DERIVED_APPROXIMATION
2017,off_hours,15600,1.869500,2.748000,CANDLE_DERIVED_APPROXIMATION
2018,asia,140940,0.244000,0.380000,CANDLE_DERIVED_APPROXIMATION
2018,london,78300,0.230000,0.304000,CANDLE_DERIVED_APPROXIMATION
2018,new_york,140940,0.240000,0.324000,CANDLE_DERIVED_APPROXIMATION
2018,off_hours,15660,0.682000,2.004000,CANDLE_DERIVED_APPROXIMATION
2019,asia,140940,0.300000,0.514000,CANDLE_DERIVED_APPROXIMATION
2019,london,78300,0.287000,0.320000,CANDLE_DERIVED_APPROXIMATION
2019,new_york,140940,0.294000,0.357000,CANDLE_DERIVED_APPROXIMATION
2019,off_hours,15660,0.804000,1.816000,CANDLE_DERIVED_APPROXIMATION
2020,asia,141480,0.427000,1.524000,CANDLE_DERIVED_APPROXIMATION
2020,london,78600,0.387000,1.100000,CANDLE_DERIVED_APPROXIMATION
2020,new_york,141480,0.387000,1.144000,CANDLE_DERIVED_APPROXIMATION
2020,off_hours,15720,0.980000,2.894000,CANDLE_DERIVED_APPROXIMATION
2021,asia,140940,0.374000,0.547000,CANDLE_DERIVED_APPROXIMATION
2021,london,78300,0.347000,0.437000,CANDLE_DERIVED_APPROXIMATION
2021,new_york,140940,0.347000,0.454000,CANDLE_DERIVED_APPROXIMATION
2021,off_hours,15660,0.904000,1.477000,CANDLE_DERIVED_APPROXIMATION
2022,asia,140400,0.398000,0.558000,CANDLE_DERIVED_APPROXIMATION
2022,london,78000,0.350000,0.454000,CANDLE_DERIVED_APPROXIMATION
2022,new_york,140400,0.354000,0.485000,CANDLE_DERIVED_APPROXIMATION
2022,off_hours,15600,0.604000,1.704000,CANDLE_DERIVED_APPROXIMATION
2023,asia,140400,0.337000,0.550000,CANDLE_DERIVED_APPROXIMATION
2023,london,78000,0.320000,0.377000,CANDLE_DERIVED_APPROXIMATION
2023,new_york,140400,0.330000,0.427000,CANDLE_DERIVED_APPROXIMATION
2023,off_hours,15600,0.784000,1.860500,CANDLE_DERIVED_APPROXIMATION
2024,asia,141480,0.397000,0.610000,CANDLE_DERIVED_APPROXIMATION
2024,london,78600,0.377000,0.470000,CANDLE_DERIVED_APPROXIMATION
2024,new_york,141480,0.370000,0.480000,CANDLE_DERIVED_APPROXIMATION
2024,off_hours,15720,0.740500,1.440000,CANDLE_DERIVED_APPROXIMATION
2025,asia,140940,0.610000,1.120000,CANDLE_DERIVED_APPROXIMATION
2025,london,78300,0.560000,0.830000,CANDLE_DERIVED_APPROXIMATION
2025,new_york,140940,0.560000,0.850000,CANDLE_DERIVED_APPROXIMATION
2025,off_hours,15660,1.280000,2.560000,CANDLE_DERIVED_APPROXIMATION
2026,asia,82080,0.740000,1.726050,CANDLE_DERIVED_APPROXIMATION
2026,london,45600,0.627000,1.000000,CANDLE_DERIVED_APPROXIMATION
2026,new_york,82080,0.670000,1.023000,CANDLE_DERIVED_APPROXIMATION
2026,off_hours,9120,1.571000,5.600000,CANDLE_DERIVED_APPROXIMATION
