instrument,family,config_id,config_json,development_trades,gross_expectancy_r,base_cost_expectancy_r,cost_2x_expectancy_r,haircut_0_70_expectancy_r,median_stop_price,p25_stop_price,round_trip_base_price_cost,round_trip_2x_price_cost,base_cost_ge_median_stop,base_cost_ge_p25_stop,cost_2x_ge_median_stop,cost_2x_ge_p25_stop,first_failing_gate,years_contributing,max_year_share,confirmation_expectancy_r,dsr_confidence,random_entry_95_r,shuffle_95_r,loyo_min_expectancy_r
BTC,F1,0,"{""entry_window"":30,""range_bars"":15,""stop_range"":0.5,""target_r"":1.0}",18809,-0.024056771740431294,-6.586051631464152,-13.148046491187875,-6.608833883193897,24.31000000000131,11.200000000000728,70.0,140.0,True,True,True,True,random_entry_95,6,0.19028124833856133,-1.2355306507584587,0.0,0.009841033547769683,0.011372215428784076,-7.757959219212873
BTC,F1,1,"{""entry_window"":30,""range_bars"":15,""stop_range"":0.5,""target_r"":2.0}",14768,0.07281397463154754,-7.009883642631848,-14.092581259895242,-7.087952990125382,23.887500000000728,10.969999999997526,70.0,140.0,True,True,True,True,random_entry_95,6,0.1885834236186349,-1.1883628723283266,9.048317650695026e-15,0.5210150325027085,0.518953141928494,-8.269696835110722
BTC,F1,2,"{""entry_window"":30,""range_bars"":15,""stop_range"":1.0,""target_r"":1.0}",11972,-0.013060092848828515,-3.150885888092022,-6.288711683335216,-3.2082873346915455,48.659999999999854,22.559999999999036,70.0,140.0,True,True,True,True,random_entry_95,6,0.19011025726695624,-0.6200354886145031,2.7200464103316335e-15,0.014199799532241897,0.014709321750751752,-3.6993446077209082
BTC,F1,3,"{""entry_window"":30,""range_bars"":15,""stop_range"":1.0,""target_r"":2.0}",9438,0.030355805546682185,-3.300012521547768,-6.630380848642218,-3.4443902252852876,48.210000000000036,22.232500000000073,70.0,140.0,True,True,True,True,random_entry_95,6,0.1893409620682348,-0.5996302932601932,2.9560243142157105e-12,0.5267164653528289,0.5248092816274634,-3.900172108169781
BTC,F1,4,"{""entry_window"":60,""range_bars"":15,""stop_range"":0.5,""target_r"":1.0}",32795,-0.03984802539526283,-6.239740904398533,-12.439633783401804,-6.26221753185625,24.474999999998545,11.407500000000255,70.0,140.0,True,True,True,True,random_entry_95,6,0.18423540173806982,-1.2764845131312645,0.0,0.009181277633785637,0.008510443665192864,-7.363860545154534
BTC,F1,5,"{""entry_window"":60,""range_bars"":15,""stop_range"":0.5,""target_r"":2.0}",23938,0.045063372754987244,-6.6640756801441245,-13.37321473304324,-6.741310138898441,24.150000000000546,11.309999999999718,70.0,140.0,True,True,True,True,random_entry_95,6,0.1842676915364692,-1.2227872491604048,0.0,0.5174325340462862,0.5168247138440972,-7.8788787561763876
BTC,F1,6,"{""entry_window"":60,""range_bars"":15,""stop_range"":1.0,""target_r"":1.0}",16628,-0.027327067000184124,-3.2345597536480146,-6.4417924402958455,-3.2952513215935646,51.32499999999891,23.997499999999945,70.0,140.0,True,True,True,True,random_entry_95,6,0.1878157324993986,-0.6244182699020504,1.8318679906315083e-15,0.012521048833293236,0.01095140726485446,-3.8049024218332974
BTC,F1,7,"{""entry_window"":60,""range_bars"":15,""stop_range"":1.0,""target_r"":2.0}",11998,0.020720417905504922,-3.022762536907087,-6.06624549171968,-3.1690630290833752,50.879999999999654,23.5,70.0,140.0,True,True,True,True,random_entry_95,6,0.18761460243373895,-0.5888325966655195,1.3600232051658168e-14,0.5217661276879481,0.5220661776962826,-3.5534235003885497
BTC,F1,8,"{""entry_window"":30,""range_bars"":30,""stop_range"":0.5,""target_r"":1.0}",10999,-0.06481099554969111,-3.4213960595157973,-6.777981123481903,-3.461031939568495,36.539999999999964,16.485000000000582,70.0,140.0,True,True,True,True,random_entry_95,6,0.18128920810982815,-0.9329955590759401,0.0,0.016474224929539042,0.01409219019910901,-4.0195219295876425
BTC,F1,9,"{""entry_window"":30,""range_bars"":30,""stop_range"":0.5,""target_r"":2.0}",9046,-0.01974456356746318,-3.455274489390218,-6.890804415212973,-3.5632072653480216,35.43000000000029,16.016250000000355,70.0,140.0,True,True,True,True,random_entry_95,6,0.17897413221313288,-0.90046563893055,0.0,0.5262657528189255,0.5232312624364359,-4.064418609050324
